Title,Author,Link,Bookshelf
Ames dormantes,Dora Melegari,http://www.gutenberg.org/ebooks/52379,
Adolphe : Anecdote trouvée dans les papiers d'un inconnu,Benjamin Constant,http://www.gutenberg.org/ebooks/28078,
Le specule des pecheurs,active 15th century von Kastl Johannes,http://www.gutenberg.org/ebooks/26436,
Philosophie de la Liberté (Tome I),Charles Secrétan,http://www.gutenberg.org/ebooks/31070,
Trois Stations de psychothérapie,Maurice Barrès,http://www.gutenberg.org/ebooks/61404,
Les bases de la morale évolutionniste,Herbert Spencer,http://www.gutenberg.org/ebooks/33032,
"Constitutions pour les religieuses de l'ordre de l'annonciade céleste, fondé à",,http://www.gutenberg.org/ebooks/57789,
"Avis pour les religieuses de l'ordre de l'Annonciade celeste, fondé à Genes",,http://www.gutenberg.org/ebooks/57788,
Banquet du 17 janvier 1841,Andrzej Towianski,http://www.gutenberg.org/ebooks/12301,
Lamarck et son OEuvre,Emile Corra,http://www.gutenberg.org/ebooks/40778,
Le Troupeau d'Aristée,Laurent Tailhade,http://www.gutenberg.org/ebooks/61538,
"Regles pour les officieres du monastere de l'Annonciade, fondé à Genes l'année",,http://www.gutenberg.org/ebooks/57790,
Theologico-Political Treatise — Part 2,Benedictus de Spinoza,http://www.gutenberg.org/ebooks/990,
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,http://www.gutenberg.org/ebooks/19634,
A New Philosophy: Henri Bergson,Edouard Le Roy,http://www.gutenberg.org/ebooks/1347,
"A System of Logic, Ratiocinative and Inductive (Vol. 1 of 2)",John Stuart Mill,http://www.gutenberg.org/ebooks/26495,
The Philosophy of Despair,David Starr Jordan,http://www.gutenberg.org/ebooks/4754,
Introduction to the Philosophy and Writings of Plato,Thomas Taylor,http://www.gutenberg.org/ebooks/10214,
The Psychology of Nations,G. E. Partridge,http://www.gutenberg.org/ebooks/20814,
Essays on some unsettled Questions of Political Economy,John Stuart Mill,http://www.gutenberg.org/ebooks/12004,
The Principles of Aesthetics,De Witt H. Parker,http://www.gutenberg.org/ebooks/6366,
Jewish History : An Essay in the Philosophy of History,Simon Dubnow,http://www.gutenberg.org/ebooks/7836,
A Theological-Political Treatise [Part III],Benedictus de Spinoza,http://www.gutenberg.org/ebooks/991,
"A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. I",Mill,http://www.gutenberg.org/ebooks/35420,
Deductive Logic,St. George William Joseph Stock,http://www.gutenberg.org/ebooks/6560,
A Theological-Political Treatise [Part IV],Benedictus de Spinoza,http://www.gutenberg.org/ebooks/992,
Essays Towards a Theory of Knowledge,Alexander Philip,http://www.gutenberg.org/ebooks/23422,
Philosophical Letters of Friedrich Schiller,Friedrich Schiller,http://www.gutenberg.org/ebooks/6799,
The Approach to Philosophy,Ralph Barton Perry,http://www.gutenberg.org/ebooks/25110,
"A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. II",Mill,http://www.gutenberg.org/ebooks/35421,
"Lectures on the true, the beautiful and the good",Victor Cousin,http://www.gutenberg.org/ebooks/36208,
The Philosophy of the Moral Feelings,John Abercrombie,http://www.gutenberg.org/ebooks/22364,
Initiation into Philosophy,Émile Faguet,http://www.gutenberg.org/ebooks/9304,
Bergson and His Philosophy,John Alexander Gunn,http://www.gutenberg.org/ebooks/5717,
Ethics — Part 4,Benedictus de Spinoza,http://www.gutenberg.org/ebooks/971,
Philosophy and Religion,Hastings Rashdall,http://www.gutenberg.org/ebooks/21995,
"The English Utilitarians, Volume 1 (of 3)",Leslie Stephen,http://www.gutenberg.org/ebooks/27597,
Joseph Smith the Prophet-Teacher: A Discourse,B. H. Roberts,http://www.gutenberg.org/ebooks/35360,
Leaves from My Journal: Third Book of the Faith-Promoting Series,Woodruff,http://www.gutenberg.org/ebooks/46028,
The Cities of the Sun,Elizabeth Cannon Porter,http://www.gutenberg.org/ebooks/50955,
"The Millennium, and Other Poems",Parley P. Pratt,http://www.gutenberg.org/ebooks/60077,
Cowley's Talks on Doctrine,Matthias F. Cowley,http://www.gutenberg.org/ebooks/47336,
Under the Prophet in Utah; the National Menace of a Political Priestcraft,Cannon et al.,http://www.gutenberg.org/ebooks/7066,
The Mormon Prophet,L. Dougall,http://www.gutenberg.org/ebooks/17279,
Representative Women of Deseret: A Book of Biographical Sketches,Crocheron,http://www.gutenberg.org/ebooks/50958,
General Smith's Views of the Powers and Policy of the Government of the United,,http://www.gutenberg.org/ebooks/45006,
My First Mission,George Q. Cannon,http://www.gutenberg.org/ebooks/45049,
"The Kingdom of God, Part 1",Orson Pratt,http://www.gutenberg.org/ebooks/46244,
"The Seventy's Course in Theology, Third Year",B. H. Roberts,http://www.gutenberg.org/ebooks/60575,
"The Seventy's Course in Theology, Fifth Year",B. H. Roberts,http://www.gutenberg.org/ebooks/60492,
"The Mormon Battalion, Its History and Achievements",B. H. Roberts,http://www.gutenberg.org/ebooks/42152,
Sinners and Saints,Phil Robinson,http://www.gutenberg.org/ebooks/54079,
A String of Pearls,Various,http://www.gutenberg.org/ebooks/46733,
"Mr. Durant of Salt Lake City, ""That Mormon""",Ben. E. Rich,http://www.gutenberg.org/ebooks/56685,
The Gospel: An Exposition of its First Principles,B. H. Roberts,http://www.gutenberg.org/ebooks/46536,
The Latter-Day Prophet: History of Joseph Smith Written for Young People,Cannon,http://www.gutenberg.org/ebooks/56698,
Venna Hastings: Story of an Eastern Mormon Convert,Julia Farr,http://www.gutenberg.org/ebooks/52552,
Being a Summary Statement of the Investigation Made,the British Government of,http://www.gutenberg.org/ebooks/54626,
Precious Memories,George C. Lambert,http://www.gutenberg.org/ebooks/47526,
Book of Mormon Stories. No. 1.,George Q. Cannon,http://www.gutenberg.org/ebooks/51095,
Dorian,Nephi Anderson,http://www.gutenberg.org/ebooks/12684,
Salvation Universal,Joseph Fielding Smith,http://www.gutenberg.org/ebooks/52840,
"The Bible, King James version, Book 26: Ezekiel",Anonymous,http://www.gutenberg.org/ebooks/8026,
"The Bible, King James version, Book 34: Nahum",Anonymous,http://www.gutenberg.org/ebooks/8034,
"The Bible, King James version, Book 35: Habakkuk",Anonymous,http://www.gutenberg.org/ebooks/8035,
"The Bible, King James version, Book 15: Ezra",Anonymous,http://www.gutenberg.org/ebooks/8015,
"The Bible, King James version, Book 39: Malachi",Anonymous,http://www.gutenberg.org/ebooks/8039,
"The Bible, King James version, Book 37: Haggai",Anonymous,http://www.gutenberg.org/ebooks/8037,
"The Bible, King James version, Book 13: 1 Chronicles",Anonymous,http://www.gutenberg.org/ebooks/8013,
"The Bible, King James version, Book 36: Zephaniah",Anonymous,http://www.gutenberg.org/ebooks/8036,
"The Bible, King James version, Book 27: Daniel",Anonymous,http://www.gutenberg.org/ebooks/8027,
"The Bible, King James version, Book 33: Micah",Anonymous,http://www.gutenberg.org/ebooks/8033,
"The Bible, King James version, Book 28: Hosea",Anonymous,http://www.gutenberg.org/ebooks/8028,
"The Bible, King James version, Book 14: 2 Chronicles",Anonymous,http://www.gutenberg.org/ebooks/8014,
Gebete für Israeliten,A. A. Wolff,http://www.gutenberg.org/ebooks/19823,
"The Bible, King James version, Book 25: Lamentations",Anonymous,http://www.gutenberg.org/ebooks/8025,
"The Bible, King James version, Book 30: Amos",Anonymous,http://www.gutenberg.org/ebooks/8030,
Dr. Martin Luther's Deutsche Geistliche Lieder,Martin Luther,http://www.gutenberg.org/ebooks/417,
Three Prayers and Sermons,Jonathan Swift,http://www.gutenberg.org/ebooks/4738,
How to become like Christ,Marcus Dods,http://www.gutenberg.org/ebooks/13460,
Sermons on Evil-Speaking,Isaac Barrow,http://www.gutenberg.org/ebooks/10274,
Manual of the Mother Church,Mary Baker Eddy,http://www.gutenberg.org/ebooks/18039,
Hymns for Christian Devotion,John G. Adams and E. H. Chapin,http://www.gutenberg.org/ebooks/20476,
How to Live a Holy Life,Charles Ebert Orr,http://www.gutenberg.org/ebooks/6999,
The Religious Spirit of the Slavs,Nikolaj Velimirović,http://www.gutenberg.org/ebooks/13388,
Sermons on Biblical Characters,Clovis Gillham Chappell,http://www.gutenberg.org/ebooks/20578,
"The World's Great Sermons, Volume 10: Drummond to Jowett, and General Index",,http://www.gutenberg.org/ebooks/11760,
Hymni ecclesiae,John Henry Newman,http://www.gutenberg.org/ebooks/34733,
マルチン・ルターの小信仰問答書,Martin Luther,http://www.gutenberg.org/ebooks/2592,
The Apology of the Augsburg Confession,Philipp Melanchthon,http://www.gutenberg.org/ebooks/6744,
A Bird's-Eye View of the Bible,Frank Nelson Palmer,http://www.gutenberg.org/ebooks/16461,
"Human Nature, and Other Sermons",Joseph Butler,http://www.gutenberg.org/ebooks/3150,
Expositions of Holy Scripture: Psalms,Alexander Maclaren,http://www.gutenberg.org/ebooks/7925,
"The World's Great Sermons, Volume 08: Talmage to Knox Little",Grenville Kleiser,http://www.gutenberg.org/ebooks/11693,
Little Folded Hands,Anonymous,http://www.gutenberg.org/ebooks/11149,
Expositions of Holy Scripture: St. John Chapters I to XIV,Alexander Maclaren,http://www.gutenberg.org/ebooks/8070,
"The Standard Oratorios: Their Stories, Their Music, And Their Composers",Upton,http://www.gutenberg.org/ebooks/22793,
"The World's Great Sermons, Volume 02: Hooker to South",Grenville Kleiser,http://www.gutenberg.org/ebooks/11627,
"The Prose Works of Jonathan Swift, D.D. — Volume 03",Jonathan Swift,http://www.gutenberg.org/ebooks/12252,
Unity of Good,Mary Baker Eddy,http://www.gutenberg.org/ebooks/16591,
"Light, Life, and Love: Selections from the German Mystics of the Middle Ages",,http://www.gutenberg.org/ebooks/4664,
An Exhortation to Peace and Unity,John Bunyan,http://www.gutenberg.org/ebooks/3614,
New Vegetarian Dishes,Mrs. Bowdich,http://www.gutenberg.org/ebooks/27639,
Dr A. Oetkers Grundlehren der Kochkunst,August Oetker,http://www.gutenberg.org/ebooks/31537,
Vegetable Diet: As Sanctioned,"Medical Men, and Experience in All Ages",http://www.gutenberg.org/ebooks/30478,
Many Ways for Cooking Eggs,S. T. Rorer,http://www.gutenberg.org/ebooks/6429,
"Culture and Cooking; Or, Art in the Kitchen",Catherine Owen,http://www.gutenberg.org/ebooks/29982,
The New Dr. Price Cookbook,Royal Baking Powder Company,http://www.gutenberg.org/ebooks/13669,
The Art of Confectionary,Edward Lambert,http://www.gutenberg.org/ebooks/30121,
Recipes Tried and True,First Presbyterian Church (Marion,http://www.gutenberg.org/ebooks/1084,
Twenty-four Little French Dinners and How to Cook and Serve Them,Cora Moore,http://www.gutenberg.org/ebooks/29970,
Traité General de la Cuisine Maigre,Auguste Hélie,http://www.gutenberg.org/ebooks/6966,
"La Mejor Cocinera, Recetas de Cocina",Calleja,http://www.gutenberg.org/ebooks/8870,
"Canned Fruit, Preserves, and Jellies: Household Methods of Preparation",Parloa,http://www.gutenberg.org/ebooks/30441,
For Luncheon and Supper Guests,Alice Bradley,http://www.gutenberg.org/ebooks/10582,
"Ice Creams, Water Ices, Frozen Puddings Together with Refreshments for all",,http://www.gutenberg.org/ebooks/8501,
The Myrtle Reed Cook Book,Myrtle Reed,http://www.gutenberg.org/ebooks/37680,
The Production of Vinegar from Honey,Gerard W. Bancks,http://www.gutenberg.org/ebooks/24510,
Miss Parloa's New Cook Book,Maria Parloa,http://www.gutenberg.org/ebooks/6745,
The Cooking Manual of Practical Directions for Economical Every-Day Cookery,,http://www.gutenberg.org/ebooks/31605,
Twenty-Five Cent Dinners for Families of Six,Juliet Corson,http://www.gutenberg.org/ebooks/28419,
The Bacillus of Long Life,Loudon M. Douglas,http://www.gutenberg.org/ebooks/31691,
The Art of Living in Australia,Philip E. Muskett,http://www.gutenberg.org/ebooks/4219,
"A Handbook of Fish Cookery: How to buy, dress, cook, and eat fish",Lucy H. Yates,http://www.gutenberg.org/ebooks/53525,
The Khaki Kook Book,Mary Kennedy Core,http://www.gutenberg.org/ebooks/25914,
The Skilful Cook,Mary Harrison,http://www.gutenberg.org/ebooks/29007,
"Salads, Sandwiches and Chafing-Dish Dainties",Janet McKenzie Hill,http://www.gutenberg.org/ebooks/19077,
"A Rudimentary Treatise on Clocks, Watches and Bells",Grimthorpe,http://www.gutenberg.org/ebooks/17576,
IBM 1401 Programming Systems,Anonymous,http://www.gutenberg.org/ebooks/27468,
Hemp Hurds as Paper-Making Material,Lyster H. Dewey and Jason L. Merrill,http://www.gutenberg.org/ebooks/17855,
Steam Turbines,Hubert E. Collins,http://www.gutenberg.org/ebooks/27687,
A History of the Growth of the Steam-Engine,Robert Henry Thurston,http://www.gutenberg.org/ebooks/35916,
Elements of Plumbing,Samuel Edward Dibble,http://www.gutenberg.org/ebooks/25269,
The London and Country Brewer,Anonymous,http://www.gutenberg.org/ebooks/8900,
"Cyclopedia of Telephony and Telegraphy, Vol. 1",American School of Correspondence,http://www.gutenberg.org/ebooks/15617,
"Chocolate: or, An Indian Drinke",Antonio Colmenero de Ledesma,http://www.gutenberg.org/ebooks/21271,
The Story of Porcelain,Sara Ware Bassett,http://www.gutenberg.org/ebooks/19423,
The Dyeing of Cotton Fabrics: A Practical Handbook for the Dyer and Student,,http://www.gutenberg.org/ebooks/21224,
Turning and Boring,Franklin Day Jones,http://www.gutenberg.org/ebooks/34030,
The Migrations of an American Boat Type,Howard Irving Chapelle,http://www.gutenberg.org/ebooks/29285,
Artificial Light: Its Influence upon Civilization,Matthew Luckiesh,http://www.gutenberg.org/ebooks/17625,
"Elevator Systems of the Eiffel Tower, 1889",Robert M. Vogel,http://www.gutenberg.org/ebooks/32282,
Spool Knitting,Mary A. McCormack,http://www.gutenberg.org/ebooks/22029,
Screw-Thread Cutting,the Master-Screw Method since 1480 Edwin A. Battison,http://www.gutenberg.org/ebooks/31756,
Human Foods and Their Nutritive Value,Harry Snyder,http://www.gutenberg.org/ebooks/20871,
The First Airplane Diesel Engine: Packard Model DR-980 of 1928,Robert B. Meyer,http://www.gutenberg.org/ebooks/31023,
Paper-Cutting Machines,Jr. Niel Gray,http://www.gutenberg.org/ebooks/34774,
"Kodaks and Kodak Supplies, 1914",Canadian Kodak Company,http://www.gutenberg.org/ebooks/33183,
Furnishing the Home of Good Taste,Lucy Abbot Throop,http://www.gutenberg.org/ebooks/14824,
The Pioneer Steamship Savannah: A Study for a Scale Model,Howard Irving Chapelle,http://www.gutenberg.org/ebooks/25544,
Tappet and Dobby Looms: Their Mechanism and Management,Thomas Roberts,http://www.gutenberg.org/ebooks/33176,
Stained Glass Work: A text-book for students and workers in glass,Whall,http://www.gutenberg.org/ebooks/31415,
The Practical Ostrich Feather Dyer,Alexander Paul,http://www.gutenberg.org/ebooks/45339,
"Scientific American Supplement, No. 530, February 27, 1886",Various,http://www.gutenberg.org/ebooks/13399,
"Scientific American Supplement, No. 623, December 10, 1887",Various,http://www.gutenberg.org/ebooks/16270,
"Scientific American Supplement, No. 315,  January 14, 1882",Various,http://www.gutenberg.org/ebooks/18345,
"Scientific American Supplement, No. 447, July 26, 1884",Various,http://www.gutenberg.org/ebooks/9266,
"Scientific American Supplement, No. 362, December 9, 1882",Various,http://www.gutenberg.org/ebooks/8687,
"Scientific American Supplement, No. 470, January 3, 1885",Various,http://www.gutenberg.org/ebooks/14041,
"Scientific American Supplement, No. 643,  April 28, 1888",Various,http://www.gutenberg.org/ebooks/16671,
"Scientific American Supplement, No. 611, September 17, 1887",Various,http://www.gutenberg.org/ebooks/16948,
"Scientific American Supplement, No. 648, June 2, 1888.",Various,http://www.gutenberg.org/ebooks/38403,
"Scientific American Supplement, No. 441, June 14, 1884.",Various,http://www.gutenberg.org/ebooks/15833,
"Scientific American Supplement, No. 787, January 31, 1891",Various,http://www.gutenberg.org/ebooks/14009,
"On a Dynamical Top, for exhibiting the phenomena of the motion of a system of",,http://www.gutenberg.org/ebooks/5192,
Catalan's Constant [Ramanujan's Formula],Greg Fee,http://www.gutenberg.org/ebooks/682,
The Golden Mean,Jerry T. Bonnell and Robert J. Nemiroff,http://www.gutenberg.org/ebooks/744,
Vector Analysis and Quaternions,Alexander Macfarlane,http://www.gutenberg.org/ebooks/13609,
Topics on Tournaments,John W. Moon,http://www.gutenberg.org/ebooks/42833,
Einführung in die Hauptgesetze der Zeichnerischen Darstellungsmethoden,,http://www.gutenberg.org/ebooks/33202,
Mathematical Essays and Recreations,Hermann Schubert,http://www.gutenberg.org/ebooks/25387,
A List of Factorial Math Constants,Unknown,http://www.gutenberg.org/ebooks/212,
Condensation of Determinants,Lewis Carroll,http://www.gutenberg.org/ebooks/37354,
On Riemann's Theory of Algebraic Functions and their Integrals,Felix Klein,http://www.gutenberg.org/ebooks/36959,
"A Scrap-Book of Elementary Mathematics: Notes, Recreations, Essays",White,http://www.gutenberg.org/ebooks/40624,
The Romance of Mathematics,P. H. Ditchfield,http://www.gutenberg.org/ebooks/26481,
Deductive Logic,St. George William Joseph Stock,http://www.gutenberg.org/ebooks/6560,
The Theory of the Relativity of Motion,Richard C. Tolman,http://www.gutenberg.org/ebooks/32857,
The Evanston Colloquium: Lectures on Mathematics,Felix Klein,http://www.gutenberg.org/ebooks/36154,
Chance and Luck,Richard A. Proctor,http://www.gutenberg.org/ebooks/17224,
"Four Lectures on Mathematics, Delivered at Columbia University in 1911",Hadamard,http://www.gutenberg.org/ebooks/29788,
Short Cuts in Figures,A. Frederick Collins,http://www.gutenberg.org/ebooks/29914,
Elementare Arithmetik und Algebra,Hermann Schubert,http://www.gutenberg.org/ebooks/11925,
Some Famous Problems of the Theory of Numbers and in Particular Waring's Problem,,http://www.gutenberg.org/ebooks/37030,
How to Draw a Straight Line: A Lecture on Linkages,A. B. Kempe,http://www.gutenberg.org/ebooks/25155,
A Primer of Quaternions,Arthur S. Hathaway,http://www.gutenberg.org/ebooks/9934,
"La Fonction Gamma: Théorie, Histoire, Bibliographie",Maurice Godefroy,http://www.gutenberg.org/ebooks/29800,
The Foundations of Mathematics: A Contribution to the Philosophy of Geometry,,http://www.gutenberg.org/ebooks/57355,
On Multiple Algebra,J. Willard Gibbs,http://www.gutenberg.org/ebooks/50977,
"Twenty-Two Years a Slave, and Forty Years a Freeman",Austin Steward,http://www.gutenberg.org/ebooks/11137,
Amusing Trial in which a Yankee Lawyer Renders a Just Verdict,Anonymous,http://www.gutenberg.org/ebooks/17604,
The Negro and the Nation,George Spring Merriam,http://www.gutenberg.org/ebooks/24613,
Thoughts on the Necessity of Improving the Condition of the Slaves in the,,http://www.gutenberg.org/ebooks/10386,
"The Anti-Slavery Examiner, Part 1 of 4",American Anti-Slavery Society,http://www.gutenberg.org/ebooks/11271,
"The History of the Rise, Progress and Accomplishment of the Abolition of the",,http://www.gutenberg.org/ebooks/12507,
"The Anti-Slavery Examiner, Part 2 of 4",American Anti-Slavery Society,http://www.gutenberg.org/ebooks/11272,
The Abolition Of Slavery The Right Of The Government Under The War Power,,http://www.gutenberg.org/ebooks/17971,
Is Slavery Sanctioned,the Bible? Isaac Allen,http://www.gutenberg.org/ebooks/24600,
The Story of Mattie J. Jackson,L. S. Thompson,http://www.gutenberg.org/ebooks/17827,
Anti-Slavery Opinions before the Year 1800,Buchanan and Poole,http://www.gutenberg.org/ebooks/23956,
"Narrative of the Life of J.D. Green, a Runaway Slave, from Kentucky",J. D. Green,http://www.gutenberg.org/ebooks/15128,
The Right of American Slavery,T. W. Hoit,http://www.gutenberg.org/ebooks/25277,
"The Anti-Slavery Examiner, Part 4 of 4",American Anti-Slavery Society,http://www.gutenberg.org/ebooks/11274,
"The Trial of Reuben Crandall, M.D.",Unknown,http://www.gutenberg.org/ebooks/28197,
"Speech of Mr. Cushing, of Massachusetts, on the Right of Petition,",Caleb Cushing,http://www.gutenberg.org/ebooks/13986,
"Cham et Japhet, ou De l'émigration des nègres chez les blancs considérée comme",,http://www.gutenberg.org/ebooks/15459,
"Slavery: What it was, what it has done, what it intends to do",Tompkins,http://www.gutenberg.org/ebooks/27767,
The Relations of the Federal Government to Slavery,Joseph K. Edgerton,http://www.gutenberg.org/ebooks/28064,
The Southerner: A Romance of the Real Lincoln,Jr. Thomas Dixon,http://www.gutenberg.org/ebooks/19135,
Personal Memoirs of U. S. Grant — Volume 1,Ulysses S. Grant,http://www.gutenberg.org/ebooks/1067,
"Lincoln; An Account of his Personal Life, Especially of its Springs of Action as",,http://www.gutenberg.org/ebooks/1713,
"A Son of the Gods, and A Horseman in the Sky",Ambrose Bierce,http://www.gutenberg.org/ebooks/5661,
The Price of the Prairie: A Story of Kansas,Margaret Hill McCarter,http://www.gutenberg.org/ebooks/31524,
"Lincoln's Inaugurals, Addresses and Letters (Selections)",Abraham Lincoln,http://www.gutenberg.org/ebooks/14274,
Three Years in the Sixth Corps,George T. Stevens,http://www.gutenberg.org/ebooks/21976,
Memories,Fannie A. Beers,http://www.gutenberg.org/ebooks/15829,
The Long Roll,Mary Johnston,http://www.gutenberg.org/ebooks/22066,
"Three Months in the Southern States, April-June 1863",Fremantle,http://www.gutenberg.org/ebooks/20928,
Lee and Longstreet at High Tide: Gettysburg in the Light of the Official Records,,http://www.gutenberg.org/ebooks/44459,
A Report of the Debates and Proceedings in the Secret Sessions of the Conference,,http://www.gutenberg.org/ebooks/24561,
The Campaign of Chancellorsville,Theodore Ayrault Dodge,http://www.gutenberg.org/ebooks/5715,
Rebel Raider,H. Beam Piper,http://www.gutenberg.org/ebooks/19194,
The Rock of Chickamauga: A Story of the Western Crisis,Joseph A. Altsheler,http://www.gutenberg.org/ebooks/9745,
"Memoirs of Service Afloat, During the War Between the States",Raphael Semmes,http://www.gutenberg.org/ebooks/34827,
The Guns of Shiloh: A Story of the Great Western Campaign,Joseph A. Altsheler,http://www.gutenberg.org/ebooks/5207,
A Life of Gen. Robert E. Lee,John Esten Cooke,http://www.gutenberg.org/ebooks/10692,
"Mohun; Or, the Last Days of Lee and His Paladins.",John Esten Cooke,http://www.gutenberg.org/ebooks/8424,
"Personal Memoirs of U. S. Grant, Part 1.",Ulysses S. Grant,http://www.gutenberg.org/ebooks/5860,
Four Years in Rebel Capitals,T. C. De Leon,http://www.gutenberg.org/ebooks/22584,
The Narrative of a Blockade-Runner,J. Wilkinson,http://www.gutenberg.org/ebooks/21977,
"Military Reminiscences of the Civil War, Volume 2: November 1863-June 1865",Cox,http://www.gutenberg.org/ebooks/6962,
The Tree of Appomattox,Joseph A. Altsheler,http://www.gutenberg.org/ebooks/17677,
Memoirs of the Union's Three Great Civil War Generals,Ulysses S. Grant et al.,http://www.gutenberg.org/ebooks/4546,
The Meaning of the War: Life & Matter in Conflict,Henri Bergson,http://www.gutenberg.org/ebooks/17111,
General Bramble,André Maurois,http://www.gutenberg.org/ebooks/30596,
"Fighting France, from Dunkerque to Belfort",Edith Wharton,http://www.gutenberg.org/ebooks/4550,
The War Service of the 1/4 Royal Berkshire Regiment (T. F.),Cruttwell,http://www.gutenberg.org/ebooks/22028,
Submarine Warfare of To-day,Charles W. Domville-Fife,http://www.gutenberg.org/ebooks/29685,
The Dispatch-Riders: The Adventures of Two British Motor-cyclists in the Great,,http://www.gutenberg.org/ebooks/36500,
Flying for France: With the American Escadrille at Verdun,James R. McConnell,http://www.gutenberg.org/ebooks/6977,
"Why We Are at War (2nd Edition, revised)",,http://www.gutenberg.org/ebooks/10809,
The Journal of Submarine Commander von Forstner,Forstner,http://www.gutenberg.org/ebooks/30114,
How I Filmed the War,Geoffrey H. Malins,http://www.gutenberg.org/ebooks/30285,
Food Guide for War Service at Home,Katharine Blunt et al.,http://www.gutenberg.org/ebooks/14055,
The Sherwood Foresters in the Great War 1914 - 1919,W. C. C. Weetman,http://www.gutenberg.org/ebooks/20527,
"War and the Future: Italy, France and Britain at War",H. G. Wells,http://www.gutenberg.org/ebooks/1804,
Everyday Foods in War Time,Mary Swartz Rose,http://www.gutenberg.org/ebooks/14066,
An Inquiry into the Nature of Peace and the Terms of Its Perpetuation,Veblen,http://www.gutenberg.org/ebooks/20694,
Over There: War Scenes on the Western Front,Arnold Bennett,http://www.gutenberg.org/ebooks/11641,
The New Frontiers of Freedom from the Alps to the Ægean,E. Alexander Powell,http://www.gutenberg.org/ebooks/17292,
"Company B, 307th Infantry",Julius Klausner,http://www.gutenberg.org/ebooks/33932,
America's War for Humanity,Thomas Herbert Russell,http://www.gutenberg.org/ebooks/10147,
Tell England,Ernest Raymond,http://www.gutenberg.org/ebooks/15033,
"The Story of the Great War, Volume III (of 12)","Churchill, Miller, and Reynolds",http://www.gutenberg.org/ebooks/18213,
Hira Singh : when India came to fight in Flanders,Talbot Mundy,http://www.gutenberg.org/ebooks/4400,
"Battery E in France: 149th Field Artillery, Rainbow (42nd) Division",Kilner,http://www.gutenberg.org/ebooks/33119,
At Suvla Bay,John Hargrave,http://www.gutenberg.org/ebooks/3306,
Worrying Won't Win,Montague Glass,http://www.gutenberg.org/ebooks/33335,
March Anson and Scoot Bailey of the U.S. Navy,Marshall McClintock,http://www.gutenberg.org/ebooks/48549,
Sparky Ames of the Ferry Command,Roy J. Snell,http://www.gutenberg.org/ebooks/47793,
Blesky nad Beskydami,František Omelka,http://www.gutenberg.org/ebooks/47754,
Genera of Leptodactylid Frogs in México,John D. Lynch,http://www.gutenberg.org/ebooks/31830,
The Ancestry of Modern Amphibia: A Review of the Evidence,Theodore H. Eaton,http://www.gutenberg.org/ebooks/37350,
Food Habits of the Thrushes of the United States,F. E. L. Beal,http://www.gutenberg.org/ebooks/33935,
A Quantitative Study of the Nocturnal Migration of Birds,Jr. George H. Lowery,http://www.gutenberg.org/ebooks/37894,
The Badger: A Monograph,Sir Alfred E. Pease,http://www.gutenberg.org/ebooks/36830,
A Synopsis of the North American Lagomorpha,E. Raymond Hall,http://www.gutenberg.org/ebooks/32426,
The Adductor Muscles of the Jaw In Some Primitive Reptiles,Richard C. Fox,http://www.gutenberg.org/ebooks/30321,
Comparative Breeding Behavior of Ammospiza caudacuta and A. maritima,Woolfenden,http://www.gutenberg.org/ebooks/36285,
Birds Found on the Arctic Slope of Northern Alaska,James W. Bee,http://www.gutenberg.org/ebooks/34337,
"Comparative Ecology of Pinyon Mice and Deer Mice in Mesa Verde National Park,",,http://www.gutenberg.org/ebooks/38959,
A Review of the Frogs of the Hyla bistincta Group,William Edward Duellman,http://www.gutenberg.org/ebooks/32653,
A Check-List of the Birds of Idaho,M. Dale Arvey,http://www.gutenberg.org/ebooks/35968,
"Fishes of Chautauqua, Cowley and Elk Counties, Kansas",Artie L. Metcalf,http://www.gutenberg.org/ebooks/34523,
Speciation of the Wandering Shrew,James S. Findley,http://www.gutenberg.org/ebooks/38356,
Game Birds and Game Fishes of the Pacific Coast,Harry Thom Payne,http://www.gutenberg.org/ebooks/38032,
"Natural History of the Bell Vireo, Vireo bellii Audubon",Jon C. Barlow,http://www.gutenberg.org/ebooks/32855,
"Birds, Illustrated","Color Photography, Vol. 2, No. 4 Various",http://www.gutenberg.org/ebooks/30552,
"Fishes of the Big Blue River Basin, Kansas",W. L. Minckley,http://www.gutenberg.org/ebooks/37742,
"Ecological Observations on the Woodrat, Neotoma floridana",Fitch and Rainey,http://www.gutenberg.org/ebooks/33566,
"Summer Birds From the Yucatan Peninsula, Mexico",Erwin E. Klaas,http://www.gutenberg.org/ebooks/36473,
"Occurrence of the Garter Snake, Thamnophis sirtalis, in the Great Plains and",,http://www.gutenberg.org/ebooks/33966,
"Humpback Whales in Glacier Bay National Monument, Alaska",,http://www.gutenberg.org/ebooks/37101,
"Freshwater Sponges, Hydroids & Polyzoa",Nelson Annandale,http://www.gutenberg.org/ebooks/36504,
A Population Study of the Prairie Vole (Microtus ochrogaster) in Northeastern,,http://www.gutenberg.org/ebooks/39396,
"Journal of Entomology and Zoology, Vol. 11, No. 2, June 1919",Various,http://www.gutenberg.org/ebooks/34094,
A New Species of Heteromyid Rodent from the Middle Oligocene of Northeast,,http://www.gutenberg.org/ebooks/34412,
